Country,Latitude,Longitude,Active users,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Event count,Key events,Total revenue
Belgium,50.8503,4.3517,640,621,477,1,1,4370,1,0
United States,37.0902,-95.7129,220,221,48,0,0,838,0,0
Netherlands,52.1326,5.2913,140,139,95,1,1,993,0,0
India,20.5937,78.9629,66,66,52,1,1,397,0,0
France,46.6034,1.8883,64,62,54,1,1,387,1,0
Germany,51.1657,10.4515,33,32,19,1,1,237,0,0
United Kingdom,55.3781,-3.436,29,29,13,0,0,130,0,0
China,35.8617,104.1954,27,26,16,1,1,147,0,0
Canada,56.1304,-106.3468,23,22,5,0,0,84,0,0
Greece,39.0742,21.8243,14,14,7,0,1,88,0,0
United Arab Emirates,23.4241,53.8478,13,12,8,1,1,90,0,0
Italy,41.8719,12.5674,11,11,7,1,1,55,0,0
Switzerland,46.8182,8.2275,11,11,8,1,1,62,0,0
Ireland,53.1424,-7.6921,9,9,4,0,0,38,0,0
Taiwan,23.6978,120.9605,8,7,11,1,1,92,0,0
Poland,51.9194,19.1451,7,7,8,1,1,70,0,0
Spain,40.4637,-3.7492,7,7,5,0,1,53,0,0
Colombia,4.5709,-74.2973,6,6,3,1,1,31,0,0
Denmark,56.2639,9.5018,6,6,11,1,2,119,0,0
Russia,61.524,105.3188,6,6,4,1,1,52,0,0
Argentina,-38.4161,-63.6167,5,5,3,0,1,31,0,0
Bangladesh,23.685,90.3563,5,5,4,1,1,21,0,0
Hong Kong,22.3193,114.1694,5,5,5,1,1,43,0,0
Iran,32.4279,53.688,5,5,5,1,1,40,0,0
Philippines,12.8797,121.774,5,5,5,1,1,24,0,0
Vietnam,14.0583,108.2772,5,5,1,0,0,20,0,0
Australia,-25.2744,133.7751,4,4,3,1,1,23,0,0
Singapore,1.3521,103.8198,4,4,3,1,1,28,0,0
South Africa,-30.5595,22.9375,4,4,3,1,1,18,0,0
Sri Lanka,7.8731,80.7718,4,4,3,1,1,18,0,0
(not set),N/A,N/A,3,3,1,0,0,12,0,0
Algeria,28.0339,1.6596,3,3,1,0,0,13,0,0
Austria,47.5162,14.5501,3,3,1,0,0,16,0,0
Egypt,26.8206,30.8025,3,3,1,0,0,11,0,0
Hungary,47.1625,19.5033,3,3,2,1,1,16,0,0
Luxembourg,49.8153,6.1296,3,3,2,1,1,30,0,0
Malaysia,4.2105,101.9758,3,3,1,0,0,13,0,0
Morocco,31.7917,-7.0926,3,2,2,0,1,20,0,0
Nigeria,9.082,8.6753,3,3,3,1,1,16,0,0
Norway,60.472,8.4689,3,3,2,1,1,14,0,0
Peru,-9.19,-75.0152,3,3,3,1,1,18,0,0
South Korea,35.9078,127.7669,3,2,3,1,1,43,1,0
TÃ¼rkiye,38.9637,35.2433,3,3,3,1,1,33,0,0
Brazil,-14.235,-51.9253,2,2,2,1,1,13,0,0
Croatia,45.1,15.2,2,2,1,0,1,11,0,0
Finland,61.9241,25.7482,2,2,1,1,1,9,0,0
Indonesia,-0.7893,113.9213,2,2,1,1,1,8,0,0
Japan,36.2048,138.2529,2,2,1,1,1,8,0,0
Lithuania,55.1694,23.8813,2,2,1,1,1,9,0,0
Seychelles,-4.6796,55.492,2,2,1,1,1,15,0,0
Sweden,60.1282,18.6435,2,2,1,1,1,8,0,0
Thailand,15.87,100.9925,2,2,0,0,0,8,0,0
Ukraine,48.3794,31.1656,2,2,0,0,0,8,0,0
Bahrain,25.9304,50.6378,1,1,0,0,0,4,0,0
Bolivia,-16.2902,-63.5887,1,1,1,1,1,4,0,0
Czechia,49.8175,15.473,1,1,1,1,1,7,0,0
Estonia,58.5953,25.0136,1,1,1,1,1,4,0,0
Gabon,-0.8037,11.6094,1,1,1,1,1,4,0,0
Israel,31.0461,34.8516,1,1,0,0,0,4,0,0
Latvia,56.8796,24.6032,1,1,1,1,1,9,0,0
Mali,17.5707,-3.9962,1,1,1,1,1,4,0,0
Malta,35.9375,14.3754,1,1,0,0,0,5,0,0
Mayotte,-12.8275,45.1662,1,1,0,0,0,3,0,0
Mexico,23.6345,-102.5528,1,1,1,1,1,7,0,0
Oman,21.4735,55.9754,1,1,1,1,1,5,0,0
Portugal,39.3999,-8.2245,1,1,1,1,1,5,0,0
Saudi Arabia,23.8859,45.0792,1,1,1,1,1,4,0,0
Senegal,14.4974,-14.4524,1,1,0,0,0,3,0,0
Serbia,44.0165,21.0059,1,1,1,1,1,4,0,0
Slovakia,48.669,19.699,1,1,1,1,1,4,0,0
Suriname,3.9193,-56.0278,1,1,0,0,0,5,0,0
Uganda,1.3733,32.2903,1,1,1,1,1,9,0,0
